sport,category,rank,official_dog,official_score,computed_dog,computed_score,status
Obedience,Novice B,1,VinEwood’s Better Than Diamonds CD BN NA OAJ MXP MJP NF OFF ACT1J SWN SEE SIA CGC TKI FITB 2 Mae Valley Of Running in the Wind CD BN RN MH DGD FTI,192.67,Vinewood's Better Than Diamonds CD BN RN NA OAJ MXP MJP NF OFP ACT1J SWN SEE SIA CGC TKI FITB,192.67,✅ match
Obedience,Novice B,2,,,Mae Valley Ql Running In The Wind CD BN RN MH CGC FTI,190.17,"＋ computed, missing from our PDF parse"
Obedience,Open B,1,CH OTCH4 RACH2 Polesitter Here You Come Again UDX9 OGM RM4 RAE4 DS,199.17,CH OTCH4 RACH2 Polesitter Here You Come Again UDX9 OGM RM4 RAE4 DS,199.17,✅ match
Obedience,Open B,2,Bluegrass Bend Vr’s Without A Trace CDX NA NAJ,182.83,Bluegrass Bend Vr's Without A Trace CDX NA NAJ,192.83,⚠ score 182.83≠192.83
Obedience,Utility A,1,Jj’s Prince Diamond Dalas UD CGC,187.83,Jj's Prince Diamond Dallas UD CGC,187.83,✅ match (name fmt)
Obedience,Utility B,1,CH OTCH4 RACH2 Polesitter Here You Come Again UDX9 OGM RM4 RAE4 DS,199.17,CH OTCH4 RACH2 Polesitter Here You Come Again UDX9 OGM RM4 RAE4 DS,199.17,✅ match
Obedience,Utility B,2,CH OTCH4 RACH2 Polesitter Here You Come Again UDX9 OGM RM4 RAE4 DS,397.80,,,"△ in official, not in raw (snapshot/legs)"
Obedience,Beginner Novice B,1,CH Wuerlwind N Hillcrest Miranda Rights BN RA BCAT CGC TKI K Anderson/E,195.832,CH Wuerlwind N Hillcrest Miranda Rights BN RA BCAT CGC TKI,195.83,✅ match
Obedience,Beginner Novice B,2,Calypso’s Enchanted Encounter BN CG A March,194.50,Calypso'S Enchanted Encounter BN CGC,191.17,⚠ score 194.50≠191.17
Rally,Novice A,1,Marcenary P. Smartpuppy,95,CH Segre's Duck Duck Goose RN CGC TKN,89.67,↕ ordering (95 vs 89.67)
Rally,Novice B,1,Cee-'N-Jay Viva Mia Ziva,99.33,Cee-'N-Jay Viva Mia Ziva RN,99.33,✅ match
Rally,Novice B,2,Balmors Blu Belle,98.33,Balmors Blu Belle CD BN RE CA DCAT SWEE SEM DM DSA,98.33,✅ match
Rally,Novice B,3,Halftime N' White Feathers Moon Dance,97,Halftime N' White Feathers Moon Dance RN,97.0,✅ match
Rally,Novice B,4,Three Dove's At Last,91,Three Dove's At Last RN BCAT DS CGC TKI FITB,91.0,✅ match
Rally,Advanced A,1,Epoch's Louder Than Words,92.33,Epoch's Louder Than Words RA,92.33,✅ match
Rally,Advanced A,2,Rustic Quesst Grande Vitesse,89,,,"△ in official, not in raw (snapshot/legs)"
Rally,Advanced B,1,Polesitter Here You Come Again,99.67,CH OTCH4 RACH2 Polesitter Here You Come Again UDX9 OGM RM4 RAE4 DS,99.67,✅ match
Rally,Advanced B,2,Emerald Isle Ridgewyn Dot With Dash,98.67,CH RACH Emerald Isle Ridgewyn Dot With Dash CDX PCD BN GN RM4 RAE2 FDC OA OAJ MXP MJP2 NF XFP RATM CGCA TKA,98.67,✅ match
Rally,Advanced B,3,Dream's Rainbow In The Dark,97.33,Dream's Rainbow In The Dark CDX PCD RM RAE2 FDC CGCA CGCU FTR,97.33,✅ match
Rally,Advanced B,4,Balmors Blu Belle,95.33,Balmors Blu Belle CD BN RE CA DCAT SWEE SEM DM DSA,95.33,✅ match
Rally,Advanced B,5,Sir Titan Atlas King,92.33,Sir Titan Atlas King RA CGC,92.33,✅ match
Rally,Advanced B,6,Silver Oak Angus From Heather Isle,91.33,Silver Oak Angus From Heather Isle RM RAE3,91.33,✅ match
